Date,Price,Open,High,Low,Change %
30-Jan-13,4126.75,4126.75,4126.75,4126.75,-0.67%
31-Jan-13,4136.3,4136.3,4136.3,4136.3,0.23%
3-Feb-13,4163.82,4163.82,4163.82,4163.82,0.67%
4-Feb-13,4164.62,4164.62,4164.62,4164.62,0.02%
5-Feb-13,4191.5,4191.5,4191.5,4191.5,0.65%
6-Feb-13,4201.98,4201.98,4201.98,4201.98,0.25%
7-Feb-13,4199.58,4199.58,4199.58,4199.58,-0.06%
10-Feb-13,4248.44,4248.44,4248.44,4248.44,1.16%
11-Feb-13,4271.15,4271.15,4271.15,4271.15,0.53%
12-Feb-13,4240.43,4240.43,4240.43,4240.43,-0.72%
13-Feb-13,4253.45,4253.45,4253.45,4253.45,0.31%
14-Feb-13,4304.97,4304.97,4304.97,4304.97,1.21%
17-Feb-13,4286.32,4286.32,4286.32,4286.32,-0.43%
18-Feb-13,4265.09,4265.09,4265.09,4265.09,-0.50%
19-Feb-13,4210.26,4210.26,4210.26,4210.26,-1.29%
20-Feb-13,4155.45,4155.45,4155.45,4155.45,-1.30%
24-Feb-13,4058.65,4058.65,4058.65,4058.65,-2.33%
25-Feb-13,4010.27,4010.27,4010.27,4010.27,-1.19%
26-Feb-13,4068.4,4068.4,4068.4,4068.4,1.45%
27-Feb-13,3956.89,3956.89,3956.89,3956.89,-2.74%
28-Feb-13,3973.28,3973.28,3973.28,3973.28,0.41%
3-Mar-13,3765.98,3765.98,3765.98,3765.98,-5.22%
4-Mar-13,3894.59,3894.59,3894.59,3894.59,3.42%
5-Mar-13,3884.5,3884.5,3884.5,3884.5,-0.26%
6-Mar-13,3854.65,3854.65,3854.65,3854.65,-0.77%
7-Mar-13,3832.85,3832.85,3832.85,3832.85,-0.57%
10-Mar-13,3791.86,3791.86,3791.86,3791.86,-1.07%
11-Mar-13,3761.97,3761.97,3761.97,3761.97,-0.79%
12-Mar-13,3787.86,3787.86,3787.86,3787.86,0.69%
13-Mar-13,3836.11,3836.11,3836.11,3836.11,1.27%
14-Mar-13,3845.8,3845.8,3845.8,3845.8,0.25%
18-Mar-13,3862.7,3862.7,3862.7,3862.7,0.44%
19-Mar-13,3894.61,3894.61,3894.61,3894.61,0.83%
20-Mar-13,3856.61,3856.61,3856.61,3856.61,-0.98%
24-Mar-13,3774.71,3774.71,3774.71,3774.71,-2.12%
25-Mar-13,3725.6,3725.6,3725.6,3725.6,-1.30%
27-Mar-13,3642.7,3642.7,3642.7,3642.7,-2.23%
28-Mar-13,3681.65,3681.65,3681.65,3681.65,1.07%
31-Mar-13,3590.04,3590.04,3590.04,3590.04,-2.49%
1-Apr-13,3458.1,3458.1,3458.1,3458.1,-3.68%
2-Apr-13,3503.14,3503.14,3503.14,3503.14,1.30%
3-Apr-13,3526.13,3526.13,3526.13,3526.13,0.66%
4-Apr-13,3507.85,3507.85,3507.85,3507.85,-0.52%
7-Apr-13,3493.27,3493.27,3493.27,3493.27,-0.42%
8-Apr-13,3515.09,3515.09,3515.09,3515.09,0.62%
9-Apr-13,3594.42,3594.42,3594.42,3594.42,2.26%
10-Apr-13,3611.3,3611.3,3611.3,3611.3,0.47%
11-Apr-13,3590.02,3590.02,3590.02,3590.02,-0.59%
15-Apr-13,3636.76,3636.76,3636.76,3636.76,1.30%
16-Apr-13,3571.49,3571.49,3571.49,3571.49,-1.79%
17-Apr-13,3572.68,3572.68,3572.68,3572.68,0.03%
18-Apr-13,3571.26,3571.26,3571.26,3571.26,-0.04%
21-Apr-13,3525.14,3525.14,3525.14,3525.14,-1.29%
22-Apr-13,3515.96,3515.96,3515.96,3515.96,-0.26%
23-Apr-13,3515.26,3515.26,3515.26,3515.26,-0.02%
24-Apr-13,3506.56,3506.56,3506.56,3506.56,-0.25%
25-Apr-13,3503.56,3503.56,3503.56,3503.56,-0.09%
28-Apr-13,3454.52,3454.52,3454.52,3454.52,-1.40%
29-Apr-13,3444.8,3444.8,3444.8,3444.8,-0.28%
30-Apr-13,3438.89,3438.89,3438.89,3438.89,-0.17%
2-May-13,3468.18,3468.18,3468.18,3468.18,0.85%
5-May-13,3468.56,3468.56,3468.56,3468.56,0.01%
6-May-13,3472.17,3472.17,3472.17,3472.17,0.10%
7-May-13,3526.6,3526.6,3526.6,3526.6,1.57%
8-May-13,3516.91,3516.91,3516.91,3516.91,-0.27%
9-May-13,3559.25,3559.25,3559.25,3559.25,1.20%
12-May-13,3639.8,3639.8,3639.8,3639.8,2.26%
13-May-13,3679.83,3679.83,3679.83,3679.83,1.10%
14-May-13,3771.05,3771.05,3771.05,3771.05,2.48%
15-May-13,3715.93,3715.93,3715.93,3715.93,-1.46%
16-May-13,3773.78,3773.78,3773.78,3773.78,1.56%
19-May-13,3873.62,3873.62,3873.62,3873.62,2.65%
20-May-13,3902.39,3902.39,3902.39,3902.39,0.74%
21-May-13,3832.62,3832.62,3832.62,3832.62,-1.79%
22-May-13,3762.08,3762.08,3762.08,3762.08,-1.84%
26-May-13,3683.98,3683.98,3683.98,3683.98,-2.08%
27-May-13,3748.22,3748.22,3748.22,3748.22,1.74%
28-May-13,3757.99,3757.99,3757.99,3757.99,0.26%
29-May-13,3855.14,3855.14,3855.14,3855.14,2.59%
30-May-13,3878.07,3878.07,3878.07,3878.07,0.59%
2-Jun-13,3943.24,3943.24,3943.24,3943.24,1.68%
3-Jun-13,3974.97,3974.97,3974.97,3974.97,0.80%
4-Jun-13,3974.48,3974.48,3974.48,3974.48,-0.01%
5-Jun-13,4048.03,4048.03,4048.03,4048.03,1.85%
6-Jun-13,4028.12,4028.12,4028.12,4028.12,-0.49%
9-Jun-13,3882.81,3882.81,3882.81,3882.81,-3.61%
10-Jun-13,4006.83,4006.83,4006.83,4006.83,3.19%
11-Jun-13,4062.74,4062.74,4062.74,4062.74,1.40%
12-Jun-13,4103.39,4103.39,4103.39,4103.39,1.00%
13-Jun-13,4079.8,4079.8,4079.8,4079.8,-0.57%
16-Jun-13,4179.67,4179.67,4179.67,4179.67,2.45%
17-Jun-13,4165.7,4165.7,4165.7,4165.7,-0.33%
18-Jun-13,4184.46,4184.46,4184.46,4184.46,0.45%
19-Jun-13,4259.21,4259.21,4259.21,4259.21,1.79%
20-Jun-13,4213.92,4213.92,4213.92,4213.92,-1.06%
23-Jun-13,4170.15,4170.15,4170.15,4170.15,-1.04%
24-Jun-13,4146.55,4146.55,4146.55,4146.55,-0.57%
26-Jun-13,4190.09,4190.09,4190.09,4190.09,1.05%
27-Jun-13,4149.16,4149.16,4149.16,4149.16,-0.98%
30-Jun-13,4104.64,4104.64,4104.64,4104.64,-1.07%
2-Jul-13,4224.16,4224.16,4224.16,4224.16,2.91%
3-Jul-13,4231.95,4231.95,4231.95,4231.95,0.18%
4-Jul-13,4270.42,4270.42,4270.42,4270.42,0.91%
7-Jul-13,4278.09,4278.09,4278.09,4278.09,0.18%
8-Jul-13,4263.23,4263.23,4263.23,4263.23,-0.35%
9-Jul-13,4321.31,4321.31,4321.31,4321.31,1.36%
10-Jul-13,4345.45,4345.45,4345.45,4345.45,0.56%
11-Jul-13,4262.93,4262.93,4262.93,4262.93,-1.90%
14-Jul-13,4206.6,4206.6,4206.6,4206.6,-1.32%
15-Jul-13,4275.49,4275.49,4275.49,4275.49,1.64%
16-Jul-13,4295.83,4295.83,4295.83,4295.83,0.48%
17-Jul-13,4284.13,4284.13,4284.13,4284.13,-0.27%
18-Jul-13,4223.61,4223.61,4223.61,4223.61,-1.41%
21-Jul-13,4090.02,4090.02,4090.02,4090.02,-3.16%
22-Jul-13,4054.74,4054.74,4054.74,4054.74,-0.86%
23-Jul-13,3929.57,3929.57,3929.57,3929.57,-3.09%
24-Jul-13,4076.5,4076.5,4076.5,4076.5,3.74%
25-Jul-13,3979.19,3979.19,3979.19,3979.19,-2.39%
28-Jul-13,3919.72,3919.72,3919.72,3919.72,-1.49%
29-Jul-13,3975.12,3975.12,3975.12,3975.12,1.41%
30-Jul-13,3957.2,3957.2,3957.2,3957.2,-0.45%
31-Jul-13,3940.8,3940.8,3940.8,3940.8,-0.41%
1-Aug-13,3911.75,3911.75,3911.75,3911.75,-0.74%
5-Aug-13,3891.97,3891.97,3891.97,3891.97,-0.51%
12-Aug-13,3916.83,3916.83,3916.83,3916.83,0.64%
13-Aug-13,3979.35,3979.35,3979.35,3979.35,1.60%
