Date,Price,Open,High,Low,Vol.,Change %
9-Dec-21,6984.74,6952.13,7022.95,6952.13,-,0.47%
8-Dec-21,6952.13,7048.99,7052.02,6946.62,-,-1.37%
7-Dec-21,7048.99,6978.53,7055.46,6978.53,-,1.01%
6-Dec-21,6978.53,6965.63,6985.73,6939.05,-,0.19%
5-Dec-21,6965.63,6936.2,6984.17,6931.19,-,0.42%
2-Dec-21,6936.2,6847,6948.06,6758.29,-,1.30%
1-Dec-21,6847,6703.25,6857.88,6703.25,-,2.14%
30-Nov-21,6703.25,6795.51,6850.81,6699.16,-,-1.36%
29-Nov-21,6795.51,6773.89,6843.65,6773.57,-,0.32%
28-Nov-21,6773.89,6852.08,6871.09,6768.39,-,-1.14%
25-Nov-21,6852.08,6917.91,6922.81,6845.61,-,-0.95%
24-Nov-21,6917.91,7013,7058.33,6916.79,-,-1.36%
23-Nov-21,7013,7022.29,7082.45,6995.98,-,-0.13%
22-Nov-21,7022.29,7085.67,7097.2,7019.22,-,-0.89%
21-Nov-21,7085.67,7091.81,7134.75,7080.72,-,-0.09%
18-Nov-21,7091.81,7060.77,7100.37,7045.25,-,0.44%
17-Nov-21,7060.77,7056.57,7093.71,7020.8,-,0.06%
16-Nov-21,7056.57,6941.36,7066.72,6941.36,-,1.66%
15-Nov-21,6941.36,6930.07,6992.1,6918.85,-,0.16%
14-Nov-21,6930.07,6995.92,7024.05,6922.83,-,-0.94%
11-Nov-21,6995.92,6982.18,7051.94,6982.14,-,0.20%
10-Nov-21,6982.18,6868.08,6991.24,6868.08,-,1.66%
9-Nov-21,6868.08,6799.64,6885.73,6799.64,-,1.01%
8-Nov-21,6799.64,6855.87,6885.19,6785.2,-,-0.82%
7-Nov-21,6855.87,6906.71,6950.46,6850.98,-,-0.74%
4-Nov-21,6906.71,6898.27,6931.89,6863.78,-,0.12%
3-Nov-21,6898.27,6954.35,6984.08,6894.3,-,-0.81%
2-Nov-21,6954.35,6998.03,7028.38,6948.71,-,-0.62%
1-Nov-21,6998.03,7000.94,7039.49,6984.93,-,-0.04%
31-Oct-21,7000.94,7062.35,7090.48,6994.83,-,-0.87%
28-Oct-21,7062.35,7011.88,7067.48,7003.91,-,0.72%
27-Oct-21,7011.88,7005.78,7065.95,6993.14,-,0.09%
26-Oct-21,7005.78,6885.29,7015.34,6856.99,-,1.75%
25-Oct-21,6885.29,7005.7,7005.7,6841.29,-,-1.72%
24-Oct-21,7005.7,7076.23,7138.48,6994.41,-,-1.00%
21-Oct-21,7076.23,7020.61,7096.48,6986.64,-,0.79%
19-Oct-21,7020.61,7097.27,7186.36,7009.05,-,-1.08%
18-Oct-21,7097.27,7186.46,7203.59,7057.91,-,-1.24%
17-Oct-21,7186.46,7243.26,7283.89,7170.76,-,-0.78%
14-Oct-21,7243.26,7248.44,7267.9,7195.1,-,-0.07%
13-Oct-21,7248.44,7313.98,7347.76,7241.97,-,-0.90%
12-Oct-21,7313.98,7345.57,7374.54,7303.18,-,-0.43%
11-Oct-21,7345.57,7367.99,7410.62,7344.9,-,-0.30%
10-Oct-21,7367.99,7342.96,7398.04,7341.26,-,0.34%
7-Oct-21,7342.96,7351.04,7402.48,7323.7,-,-0.11%
6-Oct-21,7351.04,7331.39,7406.98,7331.39,-,0.27%
5-Oct-21,7331.39,7327.54,7358.89,7277.34,-,0.05%
4-Oct-21,7327.54,7356.04,7402.8,7322.19,-,-0.39%
3-Oct-21,7356.04,7329.03,7381.91,7329.03,-,0.37%
30-Sep-21,7329.03,7302.85,7344.05,7302.85,-,0.36%
29-Sep-21,7302.85,7297.24,7331.23,7294.59,-,0.08%
28-Sep-21,7297.24,7251.71,7306.37,7251.69,-,0.63%
27-Sep-21,7251.71,7237.14,7281.78,7237.14,-,0.20%
26-Sep-21,7237.14,7250.6,7278.67,7233.41,-,-0.19%
23-Sep-21,7250.6,7241.84,7273.47,7237.81,-,0.12%
22-Sep-21,7241.84,7258.57,7306.76,7239.94,-,-0.23%
21-Sep-21,7258.57,7205.82,7275.71,7205.82,-,0.73%
20-Sep-21,7205.82,7191.8,7241.41,7191.8,-,0.19%
19-Sep-21,7191.8,7228.31,7256.25,7187.41,-,-0.51%
16-Sep-21,7228.31,7196.55,7274.74,7196.55,-,0.44%
15-Sep-21,7196.55,7140.5,7203.65,7104.1,-,0.78%
14-Sep-21,7140.5,7218.05,7261.81,7135.85,-,-1.07%
13-Sep-21,7218.05,7202.09,7252.1,7171.1,-,0.22%
12-Sep-21,7202.09,7258.74,7334.41,7198.73,-,-0.78%
9-Sep-21,7258.74,7196.32,7275.79,7171.4,-,0.87%
8-Sep-21,7196.32,7140.87,7207.22,7140.87,-,0.78%
7-Sep-21,7140.87,7075.49,7154.18,7075.49,-,0.92%
6-Sep-21,7075.49,7052.82,7090.74,7045.83,-,0.32%
5-Sep-21,7052.82,7057.22,7059.09,7049.26,-,1.03%
2-Sep-21,6981.05,6916.38,6991.66,6916.38,-,0.94%
1-Sep-21,6916.38,6869.24,6939.23,6869.24,-,0.69%
31-Aug-21,6869.24,6823.6,6884.16,6823.6,-,0.67%
29-Aug-21,6823.6,6851.32,6874.69,6819.21,-,-0.40%
26-Aug-21,6851.32,6878.75,6897.66,6845.4,-,-0.40%
25-Aug-21,6878.75,6884.67,6923,6873.22,-,-0.09%
24-Aug-21,6884.67,6862.41,6903.03,6858.96,-,0.32%
23-Aug-21,6862.41,6842.23,6886.69,6842.23,-,0.29%
22-Aug-21,6842.23,6760.61,6858.58,6760.61,-,1.21%
19-Aug-21,6760.61,6771.84,6780.69,6726.16,-,-0.17%
18-Aug-21,6771.84,6787.16,6821.75,6766.31,-,-0.23%
17-Aug-21,6787.16,6748.92,6796.78,6748.92,-,0.57%
16-Aug-21,6748.92,6699.39,6752.7,6698.45,-,0.74%
12-Aug-21,6699.39,6623.31,6705.89,6623.31,-,1.15%
11-Aug-21,6623.31,6617.83,6654.08,6540.69,-,0.08%
10-Aug-21,6617.83,6628.14,6667.32,6610.39,-,-0.16%
9-Aug-21,6628.14,6596.07,6633.22,6523.46,-,0.49%
5-Aug-21,6596.07,6535.87,6600.72,6535.87,-,0.92%
3-Aug-21,6535.87,6481.56,6546.86,6481.56,-,0.84%
2-Aug-21,6481.56,6425.25,6489.05,6425.25,-,0.88%
