"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21","6,984.74","6,703.25","7,055.46","6,703.25","-","4.20%"
"Nov 21","6,703.25","7,000.94","7,134.75","6,699.16","-","-4.25%"
"Oct 21","7,000.94","7,329.03","7,410.62","6,841.29","-","-4.48%"
"Sep 21","7,329.03","6,869.24","7,344.05","6,869.24","-","6.69%"
"Aug 21","6,869.24","6,425.25","6,923.00","6,425.25","-","6.91%"
"Jul 21","6,425.25","6,150.48","6,447.20","6,150.48","-","4.47%"
"Jun 21","6,150.48","5,990.98","6,156.59","5,938.98","-","2.66%"
"May 21","5,990.98","5,479.61","6,039.12","5,479.61","-","9.33%"
"Apr 21","5,479.61","5,278.16","5,525.58","5,080.40","-","3.82%"
"Mar 21","5,278.16","5,404.79","5,616.63","5,270.61","-","-2.34%"
"Feb 21","5,404.79","5,649.86","5,684.58","5,313.22","-","-4.34%"
"Jan 21","5,649.86","5,402.06","5,971.79","5,402.06","-","4.59%"
"Dec 20","5,402.06","4,866.84","5,407.10","4,866.84","-","11.00%"
"Nov 20","4,866.84","4,846.10","4,958.67","4,780.04","-","0.43%"
"Oct 20","4,846.10","4,963.29","5,014.25","4,803.58","-","-2.36%"
"Sep 20","4,963.29","4,879.14","5,134.89","4,839.97","-","1.72%"
"Aug 20","4,879.14","4,214.42","4,952.85","4,214.42","-","15.77%"
"Jul 20","4,214.42","3,989.08","4,218.49","3,977.10","-","5.65%"
"Jun 20","3,989.08","4,060.44","4,102.76","3,952.47","-","-1.76%"
"May 20","4,060.44","4,008.28","4,060.44","3,998.43","-","1.30%"
"Apr 20","4,008.28","4,008.28","4,008.28","4,008.28","-","0.00%"
"Mar 20","4,008.28","4,480.22","4,511.25","3,593.15","-","-10.53%"
"Feb 20","4,480.22","4,469.65","4,826.57","4,374.67","-","0.24%"
"Jan 20","4,469.65","4,452.93","4,549.79","4,009.70","-","0.38%"
"Dec 19","4,452.93","4,452.93","4,452.93","4,452.93","-","-5.89%"
"Nov 19","4,731.43","4,731.43","4,731.43","4,731.43","-","1.04%"
"Oct 19","4,682.90","4,682.90","4,682.90","4,682.90","-","-5.35%"
"Sep 19","4,947.63","4,947.63","4,947.63","4,947.63","-","-2.91%"
"Aug 19","5,095.77","5,095.77","5,095.77","5,095.77","-","-0.84%"
"Jul 19","5,138.79","5,138.79","5,138.79","5,138.79","-","-5.22%"
"Jun 19","5,421.62","5,421.62","5,421.62","5,421.62","-","0.82%"
"May 19","5,377.74","5,377.74","5,377.74","5,377.74","-","3.36%"
"Apr 19","5,202.85","5,202.85","5,202.85","5,202.85","-","-5.26%"
"Mar 19","5,491.90","5,491.90","5,491.90","5,491.90","-","-3.85%"
"Feb 19","5,711.82","5,711.82","5,711.82","5,711.82","-","-1.88%"
"Jan 19","5,821.01","5,821.01","5,821.01","5,821.01","-","8.08%"
"Dec 18","5,385.64","5,385.64","5,385.64","5,385.64","-","1.98%"
"Nov 18","5,281.25","5,281.25","5,281.25","5,281.25","-","-0.05%"
"Oct 18","5,284.12","5,284.12","5,284.12","5,284.12","-","-1.58%"
"Sep 18","5,368.95","5,368.95","5,368.95","5,368.95","-","-4.14%"
"Aug 18","5,600.64","5,600.64","5,600.64","5,600.64","-","5.62%"
"Jul 18","5,302.63","5,302.63","5,302.63","5,302.63","-","-1.90%"
"Jun 18","5,405.46","5,405.46","5,405.46","5,405.46","-","1.15%"
"May 18","5,343.87","5,343.87","5,343.87","5,343.87","-","-6.89%"
"Apr 18","5,739.22","5,739.22","5,739.22","5,739.22","-","2.53%"
"Mar 18","5,597.44","5,597.44","5,597.44","5,597.44","-","-3.57%"
"Feb 18","5,804.94","5,804.94","5,804.94","5,804.94","-","-3.89%"
"Jan 18","6,039.78","6,039.78","6,039.78","6,039.78","-","-3.28%"
"Dec 17","6,244.52","6,244.52","6,244.52","6,244.52","-","-0.99%"
