Date,Price,Open,High,Low,Vol.,Change %
13-Apr,3438.89,"3,438.89","3,438.89","3,438.89",-,-4.21%
13-Mar,3590.04,"3,590.04","3,590.04","3,590.04",-,-9.65%
20-Mar,4008.28,"4,480.22","4,511.25","3,593.15",-,-10.53%
13-May,3878.07,"3,878.07","3,878.07","3,878.07",-,12.77%
13-Sep,3937.68,"3,937.68","3,937.68","3,937.68",-,-4.60%
13-Jul,3940.80,"3,940.80","3,940.80","3,940.80",-,-3.99%
20-Jun,3989.08,"4,060.44","4,102.76","3,952.47",-,-1.76%
13-Oct,3967.72,"3,967.72","3,967.72","3,967.72",-,0.76%
13-Feb,3973.28,"3,973.28","3,973.28","3,973.28",-,-3.94%
20-Jul,4214.42,"3,989.08","4,218.49","3,977.10",-,5.65%
20-May,4060.44,"4,008.28","4,060.44","3,998.43",-,1.30%
20-Apr,4008.28,"4,008.28","4,008.28","4,008.28",-,0.00%
20-Jan,4469.65,"4,452.93","4,549.79","4,009.70",-,0.38%
15-Apr,4047.28,"4,047.28","4,047.28","4,047.28",-,-10.67%
13-Jun,4104.64,"4,104.64","4,104.64","4,104.64",-,5.84%
13-Aug,4127.48,"4,127.48","4,127.48","4,127.48",-,4.74%
16-Apr,4195.69,"4,195.69","4,195.69","4,195.69",-,-3.71%
20-Aug,4879.14,"4,214.42","4,952.85","4,214.42",-,15.77%
13-Nov,4230.72,"4,230.72","4,230.72","4,230.72",-,6.63%
13-Dec,4266.55,"4,266.55","4,266.55","4,266.55",-,0.85%
16-Mar,4357.53,"4,357.53","4,357.53","4,357.53",-,-3.42%
20-Feb,4480.22,"4,469.65","4,826.57","4,374.67",-,0.24%
16-May,4419.39,"4,419.39","4,419.39","4,419.39",-,5.33%
14-Jul,4427.15,"4,427.15","4,427.15","4,427.15",-,-1.19%
14-May,4430.47,"4,430.47","4,430.47","4,430.47",-,-2.99%
19-Dec,4452.93,"4,452.93","4,452.93","4,452.93",-,-5.89%
14-Jun,4480.52,"4,480.52","4,480.52","4,480.52",-,1.13%
14-Mar,4491.98,"4,491.98","4,491.98","4,491.98",-,-5.43%
16-Jun,4507.58,"4,507.58","4,507.58","4,507.58",-,2.00%
16-Feb,4511.96,"4,511.96","4,511.96","4,511.96",-,-0.64%
16-Jul,4525.34,"4,525.34","4,525.34","4,525.34",-,0.39%
16-Aug,4526.57,"4,526.57","4,526.57","4,526.57",-,0.03%
15-Mar,4530.48,"4,530.48","4,530.48","4,530.48",-,-4.89%
16-Jan,4540.89,"4,540.89","4,540.89","4,540.89",-,-1.39%
14-Aug,4549.51,"4,549.51","4,549.51","4,549.51",-,2.76%
15-Oct,4564.48,"4,564.48","4,564.48","4,564.48",-,-5.93%
14-Apr,4566.85,"4,566.85","4,566.85","4,566.85",-,1.67%
15-Nov,4580.99,"4,580.99","4,580.99","4,580.99",-,0.36%
15-Jun,4583.10,"4,583.10","4,583.10","4,583.10",-,-0.08%
15-May,4586.95,"4,586.95","4,586.95","4,586.95",-,13.33%
16-Oct,4592.17,"4,592.17","4,592.17","4,592.17",-,-2.19%
15-Dec,4604.91,"4,604.91","4,604.91","4,604.91",-,0.52%
19-Oct,4682.90,"4,682.90","4,682.90","4,682.90",-,-5.35%
16-Sep,4695.18,"4,695.18","4,695.18","4,695.18",-,3.72%
15-Jan,4724.04,"4,724.04","4,724.04","4,724.04",-,-2.90%
19-Nov,4731.43,"4,731.43","4,731.43","4,731.43",-,1.04%
14-Feb,4749.86,"4,749.86","4,749.86","4,749.86",-,-0.07%
14-Jan,4753.17,"4,753.17","4,753.17","4,753.17",-,11.41%
15-Feb,4763.21,"4,763.21","4,763.21","4,763.21",-,0.83%
15-Aug,4768.66,"4,768.66","4,768.66","4,768.66",-,-0.49%
14-Nov,4769.42,"4,769.42","4,769.42","4,769.42",-,-7.81%
20-Nov,4866.84,"4,846.10","4,958.67","4,780.04",-,0.43%
15-Jul,4792.30,"4,792.30","4,792.30","4,792.30",-,4.56%
16-Nov,4801.24,"4,801.24","4,801.24","4,801.24",-,4.55%
20-Oct,4846.10,"4,963.29","5,014.25","4,803.58",-,-2.36%
20-Sep,4963.29,"4,879.14","5,134.89","4,839.97",-,1.72%
15-Sep,4852.08,"4,852.08","4,852.08","4,852.08",-,1.75%
14-Dec,4864.96,"4,864.96","4,864.96","4,864.96",-,2.00%
20-Dec,5402.06,"4,866.84","5,407.10","4,866.84",-,11.00%
19-Sep,4947.63,"4,947.63","4,947.63","4,947.63",-,-2.91%
16-Dec,5036.05,"5,036.05","5,036.05","5,036.05",-,4.89%
14-Sep,5074.30,"5,074.30","5,074.30","5,074.30",-,11.54%
21-Apr,5479.61,"5,278.16","5,525.58","5,080.40",-,3.82%
19-Aug,5095.77,"5,095.77","5,095.77","5,095.77",-,-0.84%
19-Jul,5138.79,"5,138.79","5,138.79","5,138.79",-,-5.22%
14-Oct,5173.23,"5,173.23","5,173.23","5,173.23",-,1.95%
19-Apr,5202.85,"5,202.85","5,202.85","5,202.85",-,-5.26%
21-Mar,5278.16,"5,404.79","5,616.63","5,270.61",-,-2.34%
18-Nov,5281.25,"5,281.25","5,281.25","5,281.25",-,-0.05%
18-Oct,5284.12,"5,284.12","5,284.12","5,284.12",-,-1.58%
18-Jul,5302.63,"5,302.63","5,302.63","5,302.63",-,-1.90%
21-Feb,5404.79,"5,649.86","5,684.58","5,313.22",-,-4.34%
18-May,5343.87,"5,343.87","5,343.87","5,343.87",-,-6.89%
18-Sep,5368.95,"5,368.95","5,368.95","5,368.95",-,-4.14%
19-May,5377.74,"5,377.74","5,377.74","5,377.74",-,3.36%
18-Dec,5385.64,"5,385.64","5,385.64","5,385.64",-,1.98%
21-Jan,5649.86,"5,402.06","5,971.79","5,402.06",-,4.59%
17-May,5403.11,"5,403.11","5,403.11","5,403.11",-,-1.32%
18-Jun,5405.46,"5,405.46","5,405.46","5,405.46",-,1.15%
19-Jun,5421.62,"5,421.62","5,421.62","5,421.62",-,0.82%
17-Jan,5468.34,"5,468.34","5,468.34","5,468.34",-,8.58%
17-Apr,5475.55,"5,475.55","5,475.55","5,475.55",-,-4.27%
21-May,5990.98,"5,479.61","6,039.12","5,479.61",-,9.33%
19-Mar,5491.90,"5,491.90","5,491.90","5,491.90",-,-3.85%
18-Mar,5597.44,"5,597.44","5,597.44","5,597.44",-,-3.57%
18-Aug,5600.64,"5,600.64","5,600.64","5,600.64",-,5.62%
17-Feb,5612.69,"5,612.69","5,612.69","5,612.69",-,2.64%
17-Jun,5656.04,"5,656.04","5,656.04","5,656.04",-,4.68%
19-Feb,5711.82,"5,711.82","5,711.82","5,711.82",-,-1.88%
17-Mar,5719.61,"5,719.61","5,719.61","5,719.61",-,1.90%
18-Apr,5739.22,"5,739.22","5,739.22","5,739.22",-,2.53%
18-Feb,5804.94,"5,804.94","5,804.94","5,804.94",-,-3.89%
19-Jan,5821.01,"5,821.01","5,821.01","5,821.01",-,8.08%
